NAME                                  VERSION                                TYPE                         
HikariCP                              6.3.3                                  java-archive                  
ace                                   UNKNOWN                                java-archive                  
adduser                               3.153ubuntu1                           deb                           
ahocorasick                           0.6.3                                  java-archive                  
angus-activation                      2.0.3                                  java-archive                  
angus-core                            2.0.5                                  java-archive                  
angus-mail                            2.0.5                                  java-archive                  
antlr4-runtime                        4.5.3                                  java-archive                  
apigateway-generic-java-sdk           1.3                                    java-archive                  
apt                                   3.2.0                                  deb                           
apt-utils                             3.2.0                                  deb                           
asn-one                               0.6.0                                  java-archive                  
aws-iot-device-sdk-java               1.2.0                                  java-archive                  
aws-java-sdk-core                     1.12.777                               java-archive                  
base-files                            14ubuntu6.2                            deb                           
base-passwd                           3.6.8                                  deb                           
bash                                  5.3-2ubuntu1                           deb                           
bash-completion                       1:2.16.0-8build1                       deb                           
bcpkix-jdk18on                        1.84                                   java-archive                  
bcprov-jdk18on                        1.84                                   java-archive                  
bcutil-jdk18on                        1.84                                   java-archive                  
bsdutils                              1:2.41.3-3ubuntu2                      deb                           
bson                                  5.5.2                                  java-archive                  
bson-record-codec                     5.5.2                                  java-archive                  
builder                               2.10.1                                 java-archive                  
ca-certificates                       20260601~26.04.1                       deb                           
ca-certificates-java                  20260311                               deb                           
ca-certificates-java                  UNKNOWN                                java-archive                  
caffeine                              3.2.4                                  java-archive                  
catatonit                             0.2.1-2build1                          deb                           
checker-qual                          3.52.0                                 java-archive                  
classmate                             1.7.3                                  java-archive                  
coloring                              1.0                                    java-archive                  
commons-beanutils                     1.11.0                                 java-archive                  
commons-cli                           1.4                                    java-archive                  
commons-codec                         1.18.0                                 java-archive                  
commons-collections4                  4.5.0                                  java-archive                  
commons-daemon                        1.0.15                                 java-archive                  
commons-io                            2.16.1                                 java-archive                  
commons-lang3                         3.18.0                                 java-archive                  
commons-logging                       1.3.5                                  java-archive                  
commons-math3                         3.6.1                                  java-archive                  
commons-net                           3.11.1                                 java-archive                  
commons-text                          1.12.0                                 java-archive                  
commons-validator                     1.10.0                                 java-archive                  
compiler                              0.9.6                                  java-archive                  
coreutils                             9.5-1ubuntu2+0.0.0~ubuntu25            deb                           
coreutils-from-uutils                 0.0.0~ubuntu25                         deb                           
cron                                  3.0pl1-200ubuntu1                      deb                           
cron-daemon-common                    3.0pl1-200ubuntu1                      deb                           
cron4j                                2.2.5                                  java-archive                  
